MonitoringLocationName,Longitude,Latitude,n,AvgTP,GMeanTP,SDTP,sen_slope,p_value,z_statistic,OBJECTID,Join_Count,TARGET_FID,TFACTOR,AWS100,AWS25,DEP2WATTBL,HYDROLGRP,SLOPE_1,CM2RESLYR,KFACTRF,KFACTWS,PHWATER,CLAY,KSAT,OM,SAND,OBJECTID_1,Join_Count_1,TARGET_FID_1,Id,gridcode,Land_Cover
Millers River,-72.44,42.6,152,31.3,27.4,16.3,-0.1,0,-5.2,15,2,15,3,9.89,2.9,0,B,12,66,0.24,0.24,4.3,7.3,10,5.75,61.2,15,4,15,715406,2,Developed Open Space
Nashoba Brook,-71.4,42.51,51,51.4,41.7,39.2,0,0.9,-0.1,16,1,16,3,12.01,3.44,51,C/D,5,81,0.28,0.28,5.2,7,10,7.01,61,16,1,16,574331,7,Deciduous Forest
"Nashoba, Commonwealth, W. Concord",-71.4,42.46,115,45.6,37.7,39.3,0,0.33,-1,17,3,17,4,5.27,1.82,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,17,9,17,639907,15,Emergent Herbaceous Wetlands
"Nashoba, Wheeler Ln, Acton",-71.4,42.51,104,49.8,40.5,35.9,-0.1,0.05,-1.9,18,1,18,3,12.01,3.44,51,C/D,5,81,0.28,0.28,5.2,7,10,7.01,61,18,1,18,574331,7,Deciduous Forest
Nashua River,-71.57,42.67,150,46.5,38.6,36.5,-0.1,0,-4.4,19,3,19,5,7.87,2.39,153,A,2,0,0.15,0.15,5.5,2,91.74,3.5,80.9,19,3,19,306480,9,Mixed Forest
New Millbury St Bridge,-71.79,42.23,45,49.5,42,23.4,0,0.89,-0.1,20,2,20,3,4.73,1.8,0,A,8,0,0.1,0.1,4.6,2,100,2.8,0,20,4,20,1325417,4,Developed Medium Intensity
"North Br, Berlin",-71.63,42.36,77,36.6,28.4,33.9,0,0.48,0.7,21,2,21,4,9.02,3.14,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,21,6,21,932292,5,Developed High Intensity
North Nashua River,-71.72,42.5,112,124.4,86,132,-0.3,0,-3,22,1,22,4,9.04,3.15,0,A,1,0,0.28,0.28,5.1,5.4,100,4.12,60.1,22,1,22,679658,8,Evergreen Forest
Otter River,-72.04,42.59,92,65,57.9,33.1,-0.5,0,-5.7,23,2,23,3,11.91,4.82,46,C/D,9,54,0.32,0.32,4.8,6,10,13,47,23,4,23,599390,8,Evergreen Forest
Priest Brook,-72.12,42.68,46,20.1,16.6,12.9,-0.2,0.03,-2.1,24,2,24,3,5.87,1.66,0,A,12,0,0.1,0.05,4.8,3,91.74,5.5,80.2,24,1,24,511893,8,Evergreen Forest
Quaboag River,-72.26,42.18,46,40.2,36.5,19.2,-0.4,0.02,-2.3,25,2,25,3,6.99,3.12,0,A,12,0,0.1,0.1,4.6,2,100,5.5,81,25,2,25,1703512,9,Mixed Forest
Quinebaug River,-72.12,42.11,43,14.4,13.2,6.2,-0.1,0.23,-1.2,26,2,26,3,13.82,4.27,61,C,20,66,0.28,0.28,5.5,7,10,5.5,61,26,3,26,1840373,3,Developed Low Intensity
Quinsigamond River,-71.71,42.23,61,22.7,19.4,23,0,0.76,-0.3,27,2,27,3,11.48,3,46,C/D,6,76,0.28,0.28,5.2,7,10,7.01,61,27,9,27,1285344,4,Developed Medium Intensity
Rice City Pond Downstream,-71.62,42.1,45,109.1,72.1,75.7,-0.5,0.38,-0.9,28,1,28,4,9.02,3.14,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,28,3,28,1614641,9,Mixed Forest
"River Mead, Thorndike, Lowell",-71.31,42.63,98,56.3,45.7,39.9,0,0.34,-1,29,2,29,4,5.27,1.82,0, A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,29,2,29,298952,4,Developed Medium Intensity
"River Rd, Wayland",-71.38,42.37,71,56.1,42,57,0.3,0.04,2.1,30,1,30,4,25.02,7.63,0,B/D,1,0,0.37,0.37,5.5,9.5,9.17,15,21.2,30,3,30,817975,15,Emergent Herbaceous Wetlands
"Robin Hill Rd, Marlboro",-71.61,42.35,58,86.2,64.9,67.3,-2.1,0,-4.2,31,2,31,1,8,3.34,0,D,9,41,0.28,0.2,4.2,9,10,10,58,31,7,31,946422,9,Mixed Forest
"Rogers St, Lowell",-71.3,42.64,122,52.1,46.9,24.9,-0.1,0,-3.1,32,1,32,4,5.27,1.82,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,32,2,32,280987,4,Developed Medium Intensity
"Route 122A, Grafton",-71.69,42.18,47,91.2,49.2,120.8,-0.2,0.61,-0.5,33,1,33,4,20.84,9.52,23,A/D,2,0,0.24,0.24,5.9,4,23.29,5.5,65,33,1,33,1423275,1,Woody Wetlands
"Rte 2, Concord",-71.39,42.47,115,51.6,41.8,35.3,-0.4,0,-5.8,34,3,34,3,6.99,3.12,0,A,2,0,0.1,0.1,4.6,2,100,5.5,81,34,4,34,617128,12,Pasture/Hay
"Rte 20, Wayland",-71.37,42.36,64,46.6,39.7,28.6,0.3,0.02,2.4,35,2,35,4,25.02,7.63,0,B/D,1,0,0.37,0.37,5.5,9.5,9.17,15,21.2,35,4,35,835647,14,Woody Wetlands
"Rte 225, Bedford",-71.31,42.51,47,58.6,54.6,21.4,-0.5,0.02,-2.3,36,2,36,4,15.51,4.29,23,A/D,2,0,0.24,0.24,5.5,4,23.29,5.5,65,36,1,36,517280,14,Woody Wetlands
"Rte 27/USGS, Maynard",-71.45,42.43,122,57.8,46.3,42.6,-0.3,0,-4.6,37,1,37,4,5.27,1.82,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,37,2,37,721675,5,Developed High Intensity
"Rte 62 Boat House, Concord",-71.37,42.46,102,41.5,35.4,23.8,0,0.66,0.4,38,1,38,4,5.27,1.82,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,38,3,38,630437,4,Developed Medium Intensity
"Rte 62, Acton",-71.43,42.44,61,65.1,52.8,39.9,-0.8,0,-3.3,39,2,39,4,15.51,4.29,23,A/D,2,0,0.24,0.24,5.5,4,23.29,5.5,65,39,2,39,694085,4,Developed Medium Intensity
"Rte 62, Stow",-71.53,42.4,68,72.9,59.1,44.7,-1.5,0,-6,40,2,40,3,11.48,3,46,C/D,6,76,0.28,0.28,5.2,7,10,7.01,61,40,2,40,809166,12,Pasture/Hay
"Rte 9, Westboro",-71.64,42.28,123,158.8,87.5,183.1,-1.9,0,-6.7,41,2,41,4,12.35,4.94,5,B/D,1,0,0.2,0.2,4.8,6,10,5,74,41,1,41,1142477,14,Woody Wetlands
Sevenmile River,-72,42.26,45,15.5,13,11.8,0,0.61,-0.5,42,3,42,3,6.92,3.05,0,A,30,0,0.1,0.1,4.6,2,100,5.5,81,42,4,42,1342774,9,Mixed Forest
"Sherman Br Rd, Wayland",-71.36,42.4,72,47.8,40,31.9,0,0.15,1.4,43,2,43,5,7.11,2.67,0,A,3,0,0.15,0.15,5.1,1,100,4.13,85,43,6,43,749538,8,Evergreen Forest
Squannacook River,-71.64,42.62,45,18,16,12,-0.2,0.02,-2.2,44,3,44,5,6.47,2.81,0,A,20,0,0.17,0.17,5.1,4.5,77.63,3.8,66.1,44,2,44,414141,3,Developed Low Intensity
"Sudbury Landing, Framingham",-71.4,42.33,77,34,27.1,28.7,0,0.97,0,45,2,45,3,8.85,2.75,61,C,9,66,0.28,0.28,5.5,7,10,5.5,61,45,5,45,911296,4,Developed Medium Intensity
Sudbury River,-71.4,42.33,61,26.8,23.3,17.1,-0.1,0.04,-2.1,46,2,46,3,8.85,2.75,61,C,9,66,0.28,0.28,5.5,7,10,5.5,61,46,5,46,911296,4,Developed Medium Intensity
"Sutton St. bridge, Northbridge",-71.65,42.15,45,100.3,67,90.5,-0.2,0.59,-0.5,47,3,47,4,9.02,3.14,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,47,3,47,1486065,3,Developed Low Intensity
Trout Brook,-71.01,42.08,52,55.6,49.2,28.1,0.2,0.38,0.9,48,4,48,5,12.09,3.29,0,B,5,0,0.37,0.37,5.6,8,10,2,47,48,4,48,1363433,3,Developed Low Intensity
UBWPAD &amp; Blackston River,-71.78,42.21,41,163.9,103.2,170.6,1.9,0.1,1.7,49,1,49,3,14.11,4.65,66,C,25,71,0.28,0.28,5.5,7,10,10,61,49,7,49,1376811,4,Developed Medium Intensity
Unnamed Tributary,-70.83,42.01,86,71.1,49.1,72.4,-0.9,0,-4.4,50,2,50,4,9.02,3.14,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,50,3,50,1472041,3,Developed Low Intensity
Ware River,-72.29,42.24,148,26.8,24.3,11.3,-0.1,0,-3.8,51,3,51,3,13.08,4,61,B,2,0,0.24,0.24,5.9,4,23.29,4,65,51,7,51,1536947,3,Developed Low Intensity
West River,-71.6,42.1,52,28.9,24.7,24.7,0.1,0.59,0.5,52,2,52,2,13.95,5.72,0,B/D,1,0,0.24,0.24,5.3,4,55,12,61,52,5,52,1603644,9,Mixed Forest
Westfield River,-72.87,42.23,64,17.6,13.7,15.6,0.3,0,5.7,53,2,53,4,9.02,3.14,0,A,5,0,0.28,0.28,5.1,5.4,100,4.12,60.1,53,5,53,1854862,8,Evergreen Forest
Doolittle Brook,-72.49,42.45,13,16.8,16,4.9,-0.3,0.71,-0.4,54,3,54,2,10.22,4.09,0,B,12,76,0.28,0.28,4.2,9,10.0001,10,58,54,5,54,1062924,7,Deciduous Forest
Eastman Brook Downstream,-72.54,42.41,13,69.8,59.8,33.8,-3.7,0.5,-0.7,55,1,55,5,20.19,5.25,39,C/D,2,0,0.37,0.37,6.2,9.5,7.76,6.5,21.2,55,2,55,1185257,13,Cultivated Crops
Eastman Brook Upstream,-72.53,42.42,13,44.2,38.3,21.2,-3.7,0.01,-2.8,56,2,56,5,20.19,5.25,39,C/D,2,0,0.37,0.37,6.2,9.5,7.76,6.5,21.2,56,2,56,1156195,7,Deciduous Forest
Horse Farm Brook Downstream,-72.55,42.38,13,86.2,70.1,45.9,-8.9,0.03,-2.1,57,1,57,5,20.19,5.25,39,C/D,2,0,0.37,0.37,6.2,9.5,7.76,6.5,21.2,57,1,57,1269493,12,Pasture/Hay
Horse Farm Brook Upstream,-72.54,42.37,13,60.2,49.8,29.9,-5.3,0.08,-1.8,58,2,58,5,15.55,5,15,D,2,0,0.37,0.37,5.9,25,7.76,4.5,20.5,58,2,58,1292945,7,Deciduous Forest
Knightly Brook,-72.56,42.39,60,143.3,112,105.9,-0.8,0.12,-1.6,59,3,59,3,10.36,3.17,66,C,1,66,0.32,0.32,5.3,4.6,10,3.5,63.4,59,1,59,1272941,14,Woody Wetlands
Lake Warner Mill River,-72.55,42.39,72,53.8,43.7,43.7,-0.2,0.09,-1.7,60,2,60,5,17.84,5,153,B,2,0,0.37,0.37,5.9,7,9.17,3.5,21.9,60,6,60,1237963,4,Developed Medium Intensity
Lake Warner Outlet,-72.58,42.39,64,36.8,34.2,15,0.1,0.6,0.5,61,3,61,5,8.25,2.92,0,A,3,0,0.15,0.15,5.1,1,100,4.13,85,61,5,61,1250644,4,Developed Medium Intensity
Roaring Brook,-72.48,42.44,13,11.8,11.2,4,-0.4,0.2,-1.3,62,2,62,3,6.61,2.98,0,A,5,0,0.1,0.1,4.6,2,100,5.5,81,62,6,62,1082769,3,Developed Low Intensity
Tan Brook Downstream,-72.54,42.39,66,147.8,136.6,57,-1.1,0.02,-2.4,63,2,63,3,13.38,4,23,B,2,0,0.28,0.28,5.9,4,23.29,4,65,63,3,63,1232586,3,Developed Low Intensity
Tan Brook Upstream,-72.52,42.38,13,54.5,47.4,29.9,-3.7,0.08,-1.8,64,1,64,3,5.81,2.12,0,A,8,0,0.1,0.1,4.6,2,100,2.8,81,64,3,64,1252025,3,Developed Low Intensity
